Age	Quartz
1.58	0.327957
2.1	0.16667
3.57	0.135718
5.06	0.112195
6.55	0.151276
8.04	0.294329
8.82	0.222065
9.54	0.296497
10.18	0.290751
10.9	0.284287
11.89	0.229832
13.05	0.234685
14.15	0.249407
15.24	0.25845
15.83	0.306092
16.23	0.299183
16.63	0.32827
17.03	0.312408
17.52	0.383237
18.06	0.360466
18.6	0.345833
19.13	0.336618
19.84	0.321776
20.78	0.33549
21.71	0.312953
22.59	0.300217
23.49	0.389368
24.33	0.391822
25.17	0.343789
26.03	0.383497
26.84	0.306278
27.54	0.322817
28.25	0.36133
28.96	0.356924
29.59	0.344977
30.05	0.392359
30.5	0.323384
30.95	0.321894
31.48	0.361347
32.25	0.289911
33.01	0.396326
33.77	0.338013
34.56	0.289407
35.51	0.311183
36.46	0.299516
37.42	0.278524
38.32	0.2808
38.79	0.282731
39.25	0.344165
39.72	0.314198
40.21	0.384279
40.88	0.357414
41.54	0.335538
42.2	0.302972
42.86	0.342513
43.65	0.33071
44.45	0.308066
45.24	0.292791
46.04	0.336408
46.84	0.303615
47.65	0.289878
48.44	0.300749
49.24	0.350775
50.25	0.338497
51.3	0.327118
52.35	0.313442
53.39	0.317692
54.32	0.274079
55.24	0.296385
56.16	0.307837
57.09	0.318795
58.1	0.322273
59.13	0.319694
60.16	0.31396
61.2	0.347703
62.03	0.314494
62.78	0.306595
63.54	0.374225
64.3	0.354455
65.12	0.364512
66	0.373755
66.88	0.401833
67.77	0.308477
68.62	0.369527
69.47	0.377032
70.33	0.346222
71.19	0.375755
71.61	0.344441
72.04	0.366255
72.46	0.32083
72.88	0.323806
73.31	0.27919
73.73	0.316778
74.16	0.283618
74.59	0.301751
75	0.294424
75.4	0.305878
75.81	0.276068
76.2	0.323552
76.61	0.283021
77	0.295341
77.39	0.254252
77.79	0.261097
78.18	0.275856
78.53	0.305438
78.86	0.293762
79.2	0.327247
79.53	0.275038
79.87	0.260832
80.19	0.269845
80.54	0.292111
80.88	0.200533
81.22	0.218272
81.56	0.185423
81.9	0.228461
82.24	0.197917
82.58	0.207918
82.93	0.161589
83.27	0.168046
83.6	0.146702
83.98	0.161748
84.37	0.151785
84.77	0.215523
85.17	0.231716
85.58	0.277902
85.98	0.261245
86.38	0.289632
86.79	0.226501
87.19	0.258673
87.6	0.262417
88.01	0.289848
88.42	0.265283
88.84	0.30554
89.26	0.253275
89.67	0.233002
90.08	0.201856
90.52	0.247717
91.04	0.232978
91.56	0.27513
92.08	0.239538
92.61	0.277791
93.13	0.256377
93.65	0.282472
94.18	0.267978
94.69	0.271688
95.11	0.202598
95.53	0.23474
95.95	0.21871
96.36	0.263171
96.78	0.237552
97.21	0.242783
97.63	0.215193
98.04	0.233893
98.48	0.1979
98.92	0.207819
99.32	0.167245
99.79	0.151555
100.23	0.153057
100.67	0.156824
101.11	0.145215
101.55	0.104017
101.92	0.173835
102.27	0.19605
