file_name	model	TI_categories	replicate	likelihood	lik_L_51-13	lik_L_13-0	lik_M_51-13	lik_M_13-0
Fix_1_1_ArbPol_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-524.909	-43.95	-324.278	-3.596	-153.085
Fix_1_1_ArbPolabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-543.877	-43.842	-340.182	-3.387	-156.467
Fix_1_1_Ca_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-525.83	-44.66	-324.925	-3.036	-153.208
Fix_1_1_Caabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-540.976	-43.981	-339.783	-3.084	-154.127
Fix_1_1_DD_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-495.483	-46.059	-288.831	-3.735	-156.857
Fix_1_1_DecOaks_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-529.069	-43.862	-326.889	-3.581	-154.737
Fix_1_1_DecOaksabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-540.257	-44.145	-338.7	-2.883	-154.528
Fix_1_1_Grainsize_0_s_13.66_13.66constSp_constEx_HP	NA	10	0	-541.123	-43.415	-339.973	-4.926	-152.808
Fix_1_1_Grainsize_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-492.598	-43.69	-296.867	-1.773	-150.268
Fix_1_1_Grainsizeabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-512.707	-44.368	-311.355	-1.834	-155.15
Fix_1_1_Ins41_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-543.393	-44.081	-340.286	-2.493	-156.533
Fix_1_1_Ins41abschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-540.63	-43.741	-340.64	-3.085	-153.163
Fix_1_1_Isotope_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-519.156	-44.063	-317.479	-3.366	-154.248
Fix_1_1_Isotopeabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-535.626	-43.637	-335.987	-3.635	-152.368
Fix_1_1_K_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-528.511	-43.775	-329.074	-3.146	-152.517
Fix_1_1_Kabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-540.461	-44.266	-337.759	-3.026	-155.409
Fix_1_1_LR04_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-537.482	-43.965	-334.652	-3.784	-155.081
Fix_1_1_LR04abschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-541.686	-43.415	-340.793	-3.367	-154.111
Fix_1_1_Medstack_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-530.106	-43.521	-329.515	-3.054	-154.016
Fix_1_1_Medstackabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-541.98	-43.963	-339.935	-3.961	-154.121
Fix_1_1_Quartz_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-520.591	-43.744	-318.405	-2.668	-155.775
Fix_1_1_Quartzabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-536.799	-43.984	-335.97	-3.108	-153.736
Fix_1_1_TIC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-523.735	-44.0	-323.182	-3.517	-153.037
Fix_1_1_TICabschange_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-540.68	-44.177	-340.037	-2.16	-154.305
Fix_1_1_TOC_0_s_13.66_13.66linSp_linEx_HP	linEx	10	0	-535.212	-44.222	-336.555	-2.582	-151.854
